user,nb_file_events,copy_ratio,write_ratio,delete_ratio,copy_to_removable_ratio,write_to_removable_ratio,from_removable_ratio,unique_files_ratio,events_per_file,pc_usage_ratio,file_off_hours_ratio,suspicious_file_content_ratio,open_then_copy_ratio,write_then_delete_ratio,copy_then_delete_ratio
AAB0162,30,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,3.75,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
AAB0398,36,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,5.142857142857143,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0
AAC0610,1851,0.44570502431118314,0.12695840086439764,0.2182603997839006,0.44727272727272727,1.0,0.5705024311183144,0.3462992976769314,2.8876755070202806,0.0005402485143165856,0.0032414910858995136,0.036736898973527825,0.07878787878787878,0.251063829787234,0.2084848484848485
AAC0668,62,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,7.75,0.016129032258064516,0.0,0.0,0.0,0.0,0.0
AAC3270,8,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.0,0.125,0.0,0.0,0.0,0.0,0.0
AAD2188,7,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.75,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
AAD3030,211,0.0,0.0,0.0,0.0,0.0,0.0,0.08530805687203792,11.722222222222221,0.004739336492890996,0.0,0.037914691943127965,0.0,0.0,0.0
AAF0819,3409,0.4341449105309475,0.11440305074801994,0.22821941918451158,0.43648648648648647,1.0,0.5875623349955998,0.32472865943091817,3.079494128274616,0.0002933411557641537,0.0,0.040187738339689055,0.08378378378378379,0.20256410256410257,0.22027027027027027
AAF3937,10,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.4285714285714286,0.1,0.0,0.0,0.0,0.0,0.0
AAH0721,79,0.0,0.0,0.0,0.0,0.0,0.0,0.189873417721519,5.266666666666667,0.012658227848101266,0.012658227848101266,0.0,0.0,0.0,0.0
AAM0729,16,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,3.2,0.0625,0.0,0.125,0.0,0.0,0.0
AAP0352,699,0.40772532188841204,0.11301859799713877,0.2246065808297568,0.49122807017543857,1.0,0.5336194563662375,0.49928469241773965,2.002865329512894,0.001430615164520744,0.0,0.02861230329041488,0.03859649122807018,0.20253164556962025,0.13333333333333333
