user,email_external_ratio,email_suspicious_content_ratio,email_bcc_email_ratio,email_external_email_with_attachment_ratio,email_after_hours_or_weekend_ratio,email_max_zscore_emails,email_avg_emails_per_week,email_avg_size_sent_email,email_zscore_last_month,file_copy_ratio,file_write_ratio,file_delete_ratio,file_copy_to_removable_ratio,file_from_removable_ratio,file_events_per_file,file_off_hours_ratio,file_suspicious_file_content_ratio,file_open_then_copy_ratio,file_copy_then_delete_ratio,file_max_zscore_file_activity,file_zscore_last_month,logon_average_session_duration,logon_session_duration_variability,logon_ratio_short_sessions,logon_used_multi_pc_simultaneously,logon_unclosed_session_ratio,logon_after_hours_logon_ratio,logon_max_zscore_logon,logon_max_zscore_logon_after_hours,logon_zscore_last_month,decoy_file_nb_access_decoy_file,psycho_ocean_risk_score,device_con_duration_avg,device_con_duration_std,device_ratio_short_device_conn_interval,device_avg_device_conn_per_week,device_max_zscore_device_week,device_ratio_device_conn_after_hours,device_zscore_last_month,ldap_zscore_departure,http_avg_requests_per_day,http_total_keyword_flags,http_upload_ratio,http_download_ratio,http_off_hours_ratio,http_last_month_zscore,http_max_zscore_activity,http_sus_domain_ratio,http_unique_domains,http_job_search_score,users_post_departure_activity,users_pre_departure_ratio,users_activity_not_main_pc_ratio
AAB0162,0.3073744437380801,0.0149396058486967,0.0,0.051176096630642,0.0,0.0,42.51351351351352,199434.8868092692,-0.8719309365044069,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,3.0,0.8227533512074423,11.061420982735724,0,0.0,0,0.0,0.0,0.0,0.0,0.2340822943922611,30.0,0.0629373972039473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818118685772619,95.0,0,0.0,0.0,0.0,0.0,0.0,0.0318,126,0.0699,0.0,0.0,0.0
AAB0398,0.3836263447913933,0.0036735764891104,0.0,0.1180792442928365,0.0564156389399107,0.0,51.5,356879.09940652817,-0.0951751694993204,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.0277777777777777,0.0,0.0,0.0,2.0,0.6911514224205221,9.092883895131086,0,0.0,0,0.0,1.0,0.0,0.0,0.0,36.0,0.0132868421052631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0,0.0,0.0,0.0474,0.0,0.0,0.0308,248,0.0133,0.0,0.0,0.0
AAC0610,0.3631178707224334,0.0095057034220532,0.0,0.1321292775665399,0.0,0.0,14.216216216216216,827339.219072165,0.3157676068785419,0.4457050243111831,0.1269584008643976,0.2182603997839006,0.4472727272727272,0.5705024311183144,2.8876755070202806,0.0032414910858995,0.0005402485143165,0.0787878787878787,0.2084848484848485,2.022972370604471,0.535113644181597,9.1,0,0.0,0,0.4180451127819549,0.0421052631578947,2.0201702619289468,3.0,1.119963964273671,191.0,0.0,7.288639747995418,8.724061003551826,0.0257731958762886,4.808219178082192,3.189663477309152,0.0056980056980056,-0.3230291412348993,1.8181186857726197,29.0,0,0.0,0.0,0.0096,0.0,0.0,0.1031,200,0.0189,0.0,0.0014041985536754897,0.0
AAC0668,0.350561797752809,0.0077046548956661,0.0,0.0703049759229534,0.0,0.0,42.0945945945946,406817.7118023788,0.439912964497952,0.0,0.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,3.775115495715068,0.0,9.080852059925094,0,0.0,0,0.0,0.0,0.0,0.0,0.0,62.0,0.0022450657894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.997707228009848,95.0,0,0.0,0.0,0.0,0.0,0.0,0.0342,175,0.0548,0.0,0.0,0.0
AAC3270,0.2587209302325581,0.0,0.0,0.1395348837209302,0.0,0.0,4.648648648648648,1333953.3583333334,0.9019752336033946,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.080290262172285,0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0015394736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2422333806630874,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,55,0.0045,0.0,0.0,0.0
AAD2188,0.3236994219653179,0.0260115606936416,0.0,0.0924855491329479,0.0,0.0,4.675675675675675,306651.2166666667,0.9274777915203364,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,1.0,1.0,8.04133895131086,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0211677631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8054180384339102,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0694,134,0.0441,0.0,0.0,0.0
AAD3030,0.2886382623224728,0.0068922305764411,0.0,0.0745614035087719,0.0,0.0,64.70270270270271,837182.31181486,0.4684184733815271,0.0,0.0,0.0,0.0,0.0,11.72222222222222,0.0,0.0,0.0,0.0,3.5699830941104733,-0.7127385474807089,8.06629213483146,0,0.0,0,0.0,0.0,0.0,0.0,0.0,211.0,0.0719296874999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.173067468400883,143.0,0,0.0,0.0,0.0,0.0,0.0,0.008,146,0.0012,0.0,0.0,0.0
AAF0819,0.3201151263191557,0.009593859929645,0.0,0.1071314358810361,0.0,0.0,42.25675675675676,828717.9981617647,-1.8715306490217225,0.4341449105309475,0.1144030507480199,0.2282194191845115,0.4364864864864864,0.5875623349955998,3.079494128274616,0.0,0.0184804928131416,0.0837837837837837,0.2202702702702702,1.8887358195689783,-2.486663925606434,10.333333333333334,0,0.0,1,0.4180451127819549,0.0,1.773060613155779,0.0,0.2288393430009009,370.0,0.0369473684210526,8.124154189650644,9.083294249224526,0.0780141843971631,13.945945945945946,1.7261922406110568,0.0,-0.2730200519262005,1.818118685772619,95.0,0,0.0,0.0,0.0,0.0,0.0,0.0723,157,0.1333,0.0,0.0013585013585013584,0.0466165413533834
AAF3937,0.3023255813953488,0.005813953488372,0.0,0.1075581395348837,0.0,0.0,4.648648648648648,721607.8467741936,0.680020400918046,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,1.0,1.0,9.083426966292134,0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0237872738486842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8054180384339107,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0298,113,0.0011,0.0,0.0,0.0
AAG1447,0.3777635373277795,0.0070490227491188,0.0,0.0304389618711951,0.0,0.0,42.17567567567568,29996.998113207548,-0.3287650668415673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.080617977528089,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0750844983552631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5633594912943507,95.0,0,0.0,0.0,0.0,0.0,0.0,0.109,265,0.0329,0.0,0.0,0.0
